Box_No,New_Product_Name,Description,Colour,Size_2,Size_4,Size_6,Size_8,Size_10,Size_12,Size_14,Row_Total,Category,Recalc_Flag
1.0,Jack,Ryan Gown - Night Gown,Brown ,0,0,0,0,5,4,0,9,Sleep/Lounge (Unisex),Used Qty
2.0,Jack,Ryan Gown - Night Gown,Brown ,20,0,0,0,0,0,0,20,Sleep/Lounge (Unisex),Used Qty
3.0,Jack,Ryan Gown - Night Gown,Brown ,0,0,0,0,0,10,0,10,Sleep/Lounge (Unisex),Used Qty
4.0,Jack,Ryan Gown - Night Gown,Brown ,0,0,0,0,11,0,0,11,Sleep/Lounge (Unisex),Used Qty
5.0,Jack,Ryan Gown - Night Gown,Brown ,0,16,0,0,0,0,0,16,Sleep/Lounge (Unisex),Used Qty
6.0,Jack,Ryan Gown - Night Gown,Brown ,0,0,0,13,0,0,0,13,Sleep/Lounge (Unisex),Used Qty
7.0,Jack,Ryan Gown - Night Gown,Brown ,0,0,0,0,0,12,0,12,Sleep/Lounge (Unisex),Used Qty
8.0,Jack,Ryan Gown - Night Gown,Brown ,0,0,15,0,0,0,0,15,Sleep/Lounge (Unisex),Used Qty
57.0,Fireman,Rain Coat & Hat ,Yellow ,2,0,0,0,0,0,0,2,Children's (Outerwear),Used Qty
57.0,Fireman,Rain Coat (no hat - shop soiled),Yellow ,1,0,0,0,0,0,0,1,Children's (Outerwear),Used Qty
56.0,Candy,Rain Coat & Hat ,Pink,0,8,8,0,13,1,0,30,Children's (Outerwear),Used Qty
57.0,Candy,Rain Coat & Hat ,Pink,4,0,0,13,0,0,0,17,Children's (Outerwear),Used Qty
57.0,Candy,Rain Coat (no hat),Pink,2,0,0,1,2,8,0,13,Children's (Outerwear),Used Qty
39.0,Harry,Boys Gown Red Checked,Red checked,0,0,0,0,3,0,0,3,Sleep/Lounge (Unisex),Used Qty
39.0,Logan,Boys Gown Blue Stripe,Blue stripe,1,0,0,0,0,0,0,1,Sleep/Lounge (Unisex),Used Qty
